group,General
ext,101tv Antequera,https://streaming101tv.es/hls/webantequera.m3u8
ext,101tv Axarquia,https://streaming101tv.es/hls/webaxarquia.m3u8
ext,101tv Cadiz,https://streaming101tv.es/hls/webcadiz.m3u8
ext,101tv Ronda,https://streaming101tv.es/hls/webronda.m3u8
ext,101tv Sevilla,https://streaming101tv.es/hls/websevilla.m3u8
ext,12tv,https://cloud.fastchannel.es/mic/manifiest/hls/12tv/12tv.m3u8
Canal24Horas.es,24 Horas,https://rtvelivestream-clnx.rtve.es/rtvesec/24h/24h_main_dvr.m3u8
ext,24 Horas Canarias,https://rtvelivestream.akamaized.net/rtvesec/can/24h_can_main_dvr.m3u8
ext,24 Horas Catalunya,https://rtvelivestream.akamaized.net/rtvesec/cat/24h_cat_main_dvr.m3u8
ext,24 Horas Internacional,http://stream.flynetwifi.com:1935/live/mobile-100/playlist.m3u8
ext,28 kanala,https://5940924978228.streamlock.net/8157/8157/master.m3u8
ext,8 La Marina TV,https://streaming005.gestec-video.com/hls/canal24.m3u8
ext,9 la Loma TV,https://9laloma.tv/live.m3u8
ext,A Nove TV,https://ythls.armelin.one/channel/UC9dfpRzwL7gyukOK0UtnYyQ.m3u8
Antena3.mx,Antena 3 Internacional,http://stream.flynetwifi.com:1935/live/mobile-008/playlist.m3u8
Apunt.es,A Punt,https://bcovlive-a.akamaihd.net/1e7e91116b104391a4f22e13a694d94f/eu-central-1/6057955885001/playlist_dvr.m3u8
ext,Arabi TV,https://streamtv2.elitecomunicacion.cloud:3956/live/arabitvlive.m3u8
AragonTV.es,Aragon TV,https://cartv.streaming.aranova.es/hls/live/aragontv_canal1.m3u8
ext,BurrianaTeVe,https://www.burrianateve.com/hls/btv.m3u8
ext,Canal 3 TV Biar,https://avantstreaming.es/hls/canal3.m3u8
ext,Canal 45,https://nlb1-live.emitstream.com/hls/625csn5et2iszm9oze65/master.m3u8
ext,Canal 4 Catalunya,https://limited35.todostreaming.es/live/mitjans-livestream.m3u8
ext,Canal 4 Mallorca,https://limited35.todostreaming.es/live/mitjans-livestream1.m3u8
ext,Canal 4 Mancha Centro,https://5924d3ad0efcf.streamlock.net/canal4/canal4live/playlist.m3u8
ext,Canal 4 Tenerife,https://5940924978228.streamlock.net/Directo2/Directo2/playlist.m3u8
ext,Canal 56,https://videos.canal56.com/directe/stream/index.m3u8
